,uniqueid,gun,gun_strict,gun_post,gun_strict_post,woman,party,first_post_date,last_post_date,num_media,num_posts
0, ME-2,1.0,0,1,0, ME-2,D,2024-01-17,2024-11-29,262,161
1, NJ-5,19.0,0,56,0, NJ-5,D,2016-02-10,2024-11-21,2968,1710
2,Aderholt AL-4,9.0,0,26,0,Aderholt AL-4,R,2015-03-19,2024-06-07,1022,733
3,Alford MO-4,23.0,1,50,4,Alford MO-4,R,2013-11-10,2025-01-18,4764,3771
4,Allen GA-12,6.0,1,6,1,Allen GA-12,R,2015-01-23,2024-10-25,1120,760
5,Amodei NV-2,1.0,0,1,0,Amodei NV-2,R,2014-03-24,2024-11-15,211,155
6,Armstrong ND,10.0,1,16,1,Armstrong ND,R,2019-01-07,2024-11-30,990,689
7,Arrington TX-19,19.0,5,36,7,Arrington TX-19,R,2017-04-04,2024-04-12,1614,1090
8,Babin TX-36,65.0,7,114,9,Babin TX-36,R,2018-11-23,2024-05-01,3691,2971
9,Bacon NE-2,8.0,0,16,0,Bacon NE-2,R,2017-02-13,2024-10-31,1321,823
10,Baird IN-4,4.0,3,12,5,Baird IN-4,R,2012-07-09,2025-01-18,644,267
11,Balderson OH-12,4.0,0,5,0,Balderson OH-12,R,2020-05-18,2024-04-12,423,152
12,Banks IN-3,42.0,22,87,40,Banks IN-3,R,2012-05-21,2024-05-10,4001,2646
13,Barr KY-6,5.0,0,7,0,Barr KY-6,R,2017-08-10,2024-05-01,961,606
14,Bean FL-4,13.0,0,51,0,Bean FL-4,R,2013-01-12,2024-12-13,1402,1024
15,Bentz OR-2,4.0,0,9,0,Bentz OR-2,R,2021-01-08,2024-04-18,367,269
16,Bergman MI-1,10.0,1,15,5,Bergman MI-1,R,2017-01-10,2024-05-07,424,330
17,Bice OK-5,12.0,0,20,0,Bice OK-5,R,2011-05-11,2024-09-12,2048,1501
18,Biggs AZ-5,20.0,1,40,1,Biggs AZ-5,R,2016-06-08,2024-06-08,3406,2864
19,Bilirakis FL-12,17.0,1,20,1,Bilirakis FL-12,R,2015-09-08,2024-06-07,1390,1108
20,Bishop NC-8,4.0,0,13,0,Bishop NC-8,R,2019-10-11,2024-04-23,445,389
21,Boebert CO-3,153.0,134,370,330,Boebert CO-3,R,2019-12-03,2024-06-06,1774,1186
22,Brecheen OK-2,8.0,2,17,4,Brecheen OK-2,R,2023-01-11,2025-01-16,627,437
23,Buchanan FL-16,0.0,0,0,0,Buchanan FL-16,R,2013-04-05,2017-07-04,243,243
24,Buck CO-4,15.0,9,21,11,Buck CO-4,R,2015-01-07,2024-03-22,993,840
25,Bucshon IN-8,3.0,1,4,1,Bucshon IN-8,R,2013-08-26,2024-03-31,390,343
26,Burchett TN-2,22.0,11,53,22,Burchett TN-2,R,2017-10-24,2024-04-15,3257,2103
27,Burgess TX-26,5.0,0,11,0,Burgess TX-26,R,2016-03-03,2024-04-11,477,390
28,Burlison MO-7,9.0,0,9,0,Burlison MO-7,R,2023-01-09,2025-01-31,1285,1054
29,Calvert CA-41,17.0,0,31,0,Calvert CA-41,R,2015-08-25,2024-11-02,1018,749
30,Cammack FL-3,59.0,10,172,29,Cammack FL-3,R,2020-01-09,2024-06-06,3513,2108
31,Carey OH-15,4.0,4,8,8,Carey OH-15,R,2021-05-17,2021-08-06,327,99
32,Carl AL-1,8.0,0,24,0,Carl AL-1,R,2021-01-03,2024-10-23,640,340
33,Carter GA-1,9.0,1,27,1,Carter GA-1,R,2015-07-14,2024-05-13,1050,766
34,Carter TX-31,24.0,3,45,6,Carter TX-31,R,2013-07-08,2024-04-11,2423,1516
35,Chavez-Deremer OR-5,11.0,0,37,0,Chavez-Deremer OR-5,R,2014-05-11,2024-11-23,2544,1427
36,Ciscomani AZ-6,48.0,0,155,0,Ciscomani AZ-6,R,2016-07-19,2024-12-12,3935,2031
37,Cline VA-6,18.0,1,67,5,Cline VA-6,R,2018-02-19,2024-04-08,1396,957
38,Cloud TX-27,6.0,0,14,0,Cloud TX-27,R,2020-01-30,2024-04-08,506,351
39,Clyde GA-9,8.0,5,11,8,Clyde GA-9,R,2021-01-14,2024-05-15,539,442
40,Cole OK-4,1.0,0,1,0,Cole OK-4,R,2014-01-26,2024-04-16,423,326
41,Collins GA-10,23.0,7,44,16,Collins GA-10,R,2013-09-23,2024-12-10,1678,1015
42,Comer KY-1,9.0,0,50,0,Comer KY-1,R,2016-12-29,2024-05-07,3111,1295
43,Crane AZ-2,414.0,146,436,167,Crane AZ-2,R,2018-11-24,2024-12-12,2169,2031
44,Crawford AR-1,0.0,0,0,0,Crawford AR-1,R,2017-02-20,2021-06-25,113,90
45,Crenshaw TX-2,76.0,12,166,21,Crenshaw TX-2,R,2017-12-23,2024-04-15,7165,4532
46,Curtis UT-3,3.0,0,8,0,Curtis UT-3,R,2017-12-05,2024-05-01,1615,1171
47,Davidson OH-8,5.0,1,13,4,Davidson OH-8,R,2016-01-29,2024-04-19,433,331
48,De La Cruz TX-15,111.0,41,153,49,De La Cruz TX-15,R,2018-08-10,2025-01-15,6179,5158
49,DesJarlais TN-4,5.0,1,5,1,DesJarlais TN-4,R,2012-11-29,2022-06-20,548,484
50,Diaz-Balart FL-26,28.0,2,116,16,Diaz-Balart FL-26,R,2013-02-28,2024-06-05,2683,1347
51,Donalds FL-19,28.0,1,52,1,Donalds FL-19,R,2016-10-05,2024-06-06,4627,3909
52,Duarte CA-13,28.0,2,122,12,Duarte CA-13,R,2022-03-19,2024-11-21,1309,662
53,Duncan SC-3,24.0,11,55,16,Duncan SC-3,R,2013-05-20,2024-04-11,1745,1366
